,sa,hi_ref,hi_pred,BLEU,CHRF++
14,दमयन्त्युवाच मां चेदिच्छसि जीवन्तीं मातः सत्यं ब्रवीमि ते नलस्य नरवीरस्य यतस्वानयने पुनः,"दमयन्ती बोली माँ ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो","दमयन्ती बोली माँ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो",100.00000000000004,100.0
15,पुनः यतस्वानयने ते दमयन्त्युवाच नरवीरस्य सत्यं नलस्य ब्रवीमि जीवन्तीं मातः मां चेदिच्छसि,"दमयन्ती बोली माँ ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो","दमयन्ती बोली माँ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो",100.00000000000004,100.0
16,चेदिच्छसि पुनः नरवीरस्य मातः दमयन्त्युवाच यतस्वानयने ते नलस्य ब्रवीमि जीवन्तीं मां सत्यं,"दमयन्ती बोली माँ ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो","दमयन्ती बोली माँ! यादे मुझे जीवित देखना चाहती हो तो मैं तुमसे सच कहती हूँ, नरवीर महाराज न की खोज करानेका पुनः प्रयत्न करो",100.00000000000004,100.0
17,न मानसं कर्म शुभाशुभं मे न कायिकं कर्म शुभाशुभं मे ॥,"मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं","मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं",100.00000000000004,100.0
18,शुभाशुभं न कर्म मे शुभाशुभं मे मानसं कर्म कायिकं न ॥,"मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं","मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं",100.00000000000004,100.0
19,न न शुभाशुभं मे कायिकं शुभाशुभं मानसं मे कर्म कर्म ॥,"मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं","मेरे बीच में मन संबंधी शुभ अशुभ कर्म नहीं हैं शरीर संबंधी शुभ अशुभ कर्म नहीं हैं वाणीसंबंधी शुभ अशुभ कर्म मुझमें नहीं हैं में ज्ञानअमृत स्वरूप हूं, शुद्ध हूं और इन्द्रियों से परैं हूं",100.00000000000004,100.0
20,तृतीयं नहि दुःखसमागमनं न गुणाद्वितीयस्य समागमनं ॥,तीसरे जिसमें दुःख की प्राप्ति नहीं गुण से सुखकी प्राप्ति नहीं है यदि एक है निरंतर सबमें शिवरूप है तो बूढा जवान बालक ये कैसे है,तीसरे जिसमें दुःख की प्राप्ति नहीं गुण से सुखकी प्राप्ति नहीं है यदि एक है निरंतर सबमें शिवरूप है तो बूढा जवान बालक ये कैसे है,100.00000000000004,100.0
21,तृतीयं समागमनं नहि दुःखसमागमनं न गुणाद्वितीयस्य ॥,तीसरे जिसमें दुःख की प्राप्ति नहीं गुण से सुखकी प्राप्ति नहीं है यदि एक है निरंतर सबमें शिवरूप है तो बूढा जवान बालक ये कैसे है,तीसरे जिसमें दुःख की प्राप्ति नहीं गुण से सुखकी प्राप्ति नहीं है यदि एक है निरंतर सबमें शिवरूप है तो बूढा जवान बालक ये कैसे है,100.00000000000004,100.0
22,वर्तमानेषु च निरामयम् वासना वर्जिता वर्तेत लक्षणम् तस्य वक्तव्यं वकारं येन,"विषय वासना जिसमें है नहीं, कुशल पूर्वक बोलता है जो वर्तमान है उनमें वर्तता है यह वकार का लक्षण है","विषय वासना जिसमें है नहीं, कुशल पूर्वक बोलता है जो वर्तमान है उनमें वर्तता है यह वकार का लक्षण है",100.00000000000004,100.0
23,ननु रूपविरूपविहीन इति ननु भिन्नविभिन्नविहीन इति ॥,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन ! सब की तरह क्यों विलाप करता है,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन! सब की तरह क्यों विलाप करता है,100.00000000000004,100.0
24,ननु इति इति भिन्नविभिन्नविहीन रूपविरूपविहीन ननु ॥,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन ! सब की तरह क्यों विलाप करता है,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन! सब की तरह क्यों विलाप करता है,100.00000000000004,100.0
25,रूपविरूपविहीन इति ननु ननु भिन्नविभिन्नविहीन इति ॥,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन ! सब की तरह क्यों विलाप करता है,निश्चय वह रूप और कुरूपसे अलग है निश्चय वह भेद और अभेद से अलग है निश्चय वह सृष्टि और विसर्ग से अलग है फिर हे मन! सब की तरह क्यों विलाप करता है,100.00000000000004,100.0
26,शिवं न जानामि कथं वदामि शिवं न जानामि कथं भजामि ॥,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,100.00000000000004,100.0
27,न जानामि कथं जानामि वदामि न शिवं शिवं कथं भजामि ॥,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,100.00000000000004,100.0
28,न वदामि कथं न जानामि कथं शिवं जानामि भजामि शिवं ॥,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,शिवको में नहीं जानताहूं किस तरह बताऊं शिवको जानता नहीं हूं किस तरह भजूं यदि में ही शिव हूं तौ परम तत्वरूप हूं समान स्वरूप हूं आकाश के समान हूँ,100.00000000000004,100.0
29,आत्मैव केवलं सर्वे भेदाभेदो न विद्यते अस्तिनास्तिकथं ब्रूयां विस्मयः प्रतिभाति मे,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,100.00000000000004,100.0
30,ब्रूयां न विद्यते केवलं आत्मैव सर्वे भेदाभेदो प्रतिभाति अस्तिनास्तिकथं विस्मयः मे,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,100.00000000000004,100.0
31,ब्रूयां केवलं आत्मैव भेदाभेदो विद्यते सर्वे प्रतिभाति मे विस्मयः अस्तिनास्तिकथं न,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,केवल आत्माही सबमें है इसमें भेद और अभेद कुछ नहीं है इसके संबंध में अस्ति नास्ति किस तरह कहा जाय ये मुझको बडा आश्चर्य मालुम होता है,100.00000000000004,100.0
32,नहि याज्ञिकयज्ञविभाग इति न हुताशनवस्तुविभाग इति ॥,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,100.00000000000004,100.0
33,याज्ञिकयज्ञविभाग न नहि इति इति हुताशनवस्तुविभाग ॥,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,100.00000000000004,100.0
34,याज्ञिकयज्ञविभाग न हुताशनवस्तुविभाग इति नहि इति ॥,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,याज्ञिक और यज्ञ इनका विभाग नहीं है न अग्नि और वस्तुका विभाग है यदि एक भेद रहित सबमें शिव है तो कर्म के फल कैसे होते है सो कहो,100.00000000000004,100.0
35,ज्ञानं न तर्कों न समाधियोगो न देशकालौ न गुरूपदेशः ॥,"न ज्ञान है, न तर्क है, न समाधि और योग हैं, न देशकाल हैं, न गुरू का उपदेश है, में स्वभाव ही से ज्ञानस्वरूप, परमतत्व, आकाश के समान, स्वाभाविक, और नित्य हूँ","न ज्ञान है, न तर्क है, न समाधि और योग हैं, न देशकाल हैं, न गुरू का उपदेश है, में स्वभाव ही से ज्ञानस्वरूप, परमतत्व, आकाश के समान, स्वाभाविक, और नित्य हूँ",100.00000000000004,100.0
36,निष्कामकाममिहनाम कथं वदामि निःसंगसंगमिहनाम कथं वदामि ॥,"कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ","कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ",100.00000000000004,100.0
37,निष्कामकाममिहनाम निःसंगसंगमिहनाम कथं वदामि वदामि कथं ॥,"कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ","कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ",100.00000000000004,100.0
38,कथं वदामि वदामि निःसंगसंगमिहनाम कथं निष्कामकाममिहनाम ॥,"कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ","कामना रहित जो काम है उसका वर्णन कैसे करूँ, निःसंग को संगता में किस प्रकार कहूँ निःसार को सार रहितत्व कैसे कहूँ मैं ज्ञान और अमृत स्वरूप हूँ, समान रस हूँ, आकाश के समान हूँ",100.00000000000004,100.0
39,तथा चरन्ती पाञ्चाली सुदेष्णाया निवेशने तां देवीं तोषयामास तथा चान्तःपुरस्त्रियः,सुदेष्णाके महलमें पूर्वोक्तरूपसे सेवा करती हुई पाञ्चालीने महारानी तथा अन्तःपुरकी अन्य खियको पूर्ण प्रसन्न कर लिया,सुदेष्णाके महलमें पूर्वोक्तरूपसे सेवा करती हुई पाञ्चालीने महारानी तथा अन्तःपुरकी अन्य खियको पूर्ण प्रसन्न कर लिया,100.00000000000004,100.0
40,मातापितादि तनयादि न मे कदाचि ज्जातं मृतं न च मनो न च मे कदाचित् ॥,"मेरे माता, पिता वा पुत्रादि कभी नहीं हुए, न मैंने कभी जन्म लिया न में मरा, मेरे कभी मन स्थिर है, यह परमार्थ तत्व व्याकुलता रहित, स्थिर है, में ज्ञानामृत, समरस और गगनोपम हूँ","मेरे माता, पिता वा पुत्रादि कभी नहीं हुए, न मैंने कभी जन्म लिया न में मरा, मेरे कभी मन स्थिर है, यह परमार्थ तत्व व्याकुलता रहित, स्थिर है, में ज्ञानामृत, समरस और गगनोपम हूँ",100.00000000000004,100.0
41,मे मे मृतं न च मातापितादि च कदाचि न तनयादि न ज्जातं कदाचित् मनो ॥,"मेरे माता, पिता वा पुत्रादि कभी नहीं हुए, न मैंने कभी जन्म लिया न में मरा, मेरे कभी मन स्थिर है, यह परमार्थ तत्व व्याकुलता रहित, स्थिर है, में ज्ञानामृत, समरस और गगनोपम हूँ","मेरे माता, पिता वा पुत्रादि कभी नहीं हुए, न मैंने कभी जन्म लिया न में मरा, मेरे कभी मन स्थिर है, यह परमार्थ तत्व व्याकुलता रहित, स्थिर है, में ज्ञानामृत, समरस और गगनोपम हूँ",100.00000000000004,100.0
42,तदवस्थां तु तां दृा सर्वमन्तःपुरं तदा हाहाभूतमतीवासीद् भृशं च प्ररुरोद ह,तब महारानी की यह दयनीय अवस्था देख उस समय सारे अन्तःपुरमें हाहाकार मच गया सबकेसब फूटफूटकर रोने लगे,तब महारानी की यह दयनीय अवस्था देख उस समय सारे अन्तःपुरमें हाहाकार मच गया सबकेसब फूटफूटकर रोने लगे,100.00000000000004,100.0
43,न हि पंचात्मको देहो विदेहो वर्तते न हि आत्मैव केवलं सर्वं तुरीयं च त्रयं कथम्,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,100.00000000000004,100.0
44,केवलं आत्मैव पंचात्मको सर्वं त्रयं हि हि विदेहो देहो कथम् तुरीयं न वर्तते च न,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,100.00000000000004,100.0
45,विदेहो केवलं न सर्वं आत्मैव पंचात्मको देहो न हि वर्तते कथम् त्रयं च हि तुरीयं,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,पांच तत्वों से बना हुआ देह नहीं है विदेह भी नहीं है सब केवल आत्मा ही है फिर सुषुप्ति और समाधि आदि अवस्था किस तरह हैं,100.00000000000004,100.0
46,निर्विकारतया वृत्त्या ब्रह्माकारतया पुनः वृत्तिविस्मरणं सम्यक् समाधिर्ज्ञानसंज्ञकः,निर्विकार तथा ब्रह्माकारवृत्ति से जो पूर्णतया वृत्तिहीनता हो जाती है वही ज्ञानसमाधि है,निर्विकार तथा ब्रह्माकारवृत्ति से जो पूर्णतया वृत्तिहीनता हो जाती है वही ज्ञानसमाधि है,100.00000000000004,100.0
47,यत्सारभूतमखिलं कथितं मया ते न त्वं न मे न महतो न गुरुर्नशिष्यः ॥,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,100.00000000000004,100.0
48,मया न न ते गुरुर्नशिष्यः महतो न मे कथितं त्वं यत्सारभूतमखिलं न ॥,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,100.00000000000004,100.0
49,यत्सारभूतमखिलं न गुरुर्नशिष्यः न मया ते मे महतो त्वं न न कथितं ॥,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,मैंने जो सम्पूर्ण सारांश तुझसे कहा है वह न तो तू है न में हूँ न बडा है न गुरु है न शिष्य है वह परमार्थ तत्व अपनी इच्छानुकूल है और स्वाभाविक है में ज्ञान और अमृत रूप हूँ,100.00000000000004,100.0
50,न धर्म युक्तो न च पापयुक्तो न बन्धयुक्तो न च मोक्षयुक्तः ॥,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,न तो मेरे धर्म है न अधर्म है न बंधन है न मोक्ष है न योग्य और अयोग्य मेरे बीचमें प्रकाश नहीं करते हैं में मोक्ष स्वरूप हूँ और निरोग हूँ,100.00000000000004,100.0
